seed,mode,nfe,nrmse,obs_residual
0,A_gauss_guided,10,0.11509325355291367,0.0838080644607544
0,B_info_guided,10,0.2911798059940338,0.007593629881739616
0,C_info_unguided,10,0.09681377559900284,0.04848655313253403
0,A_gauss_guided,20,0.11931677907705307,0.07872170954942703
0,B_info_guided,20,0.19229325652122498,0.0074966964311897755
0,C_info_unguided,20,0.09786157310009003,0.050159987062215805
0,A_gauss_guided,50,0.11685163527727127,0.07845962047576904
0,B_info_guided,50,0.09646355360746384,0.007469233591109514
0,C_info_unguided,50,0.09862986207008362,0.05141623318195343
0,A_gauss_guided,100,0.11725521087646484,0.07817325741052628
0,B_info_guided,100,0.0946744978427887,0.007478300482034683
0,C_info_unguided,100,0.09891608357429504,0.051888324320316315
