seed,mode,nfe,nrmse,obs_residual
0,A_gauss_guided,10,0.11509325355291367,0.0838080644607544
0,B_info_guided,10,0.2657714784145355,0.013722782954573631
0,C_info_unguided,10,0.09418734908103943,0.06893420964479446
0,A_gauss_guided,20,0.11931677907705307,0.07872170954942703
0,B_info_guided,20,0.16039757430553436,0.013536699116230011
0,C_info_unguided,20,0.09473129361867905,0.06961037963628769
0,A_gauss_guided,50,0.11685163527727127,0.07845962047576904
0,B_info_guided,50,0.09009670466184616,0.013421973213553429
0,C_info_unguided,50,0.09514538198709488,0.07012365758419037
0,A_gauss_guided,100,0.11725521087646484,0.07817325741052628
0,B_info_guided,100,0.0907774269580841,0.01340143010020256
0,C_info_unguided,100,0.09530332684516907,0.07031817734241486
