seed,mode,nfe,nrmse,obs_residual
0,A_gauss_guided,10,0.24662332236766815,0.2063167244195938
0,B_info_guided,10,0.08961257338523865,0.0232975073158741
0,C_info_unguided,10,0.09418734908103943,0.06893420964479446
0,A_gauss_guided,20,0.23650485277175903,0.19730055332183838
0,B_info_guided,20,0.09049723297357559,0.023085664957761765
0,C_info_unguided,20,0.09473129361867905,0.06961037963628769
0,A_gauss_guided,50,0.23206263780593872,0.19321492314338684
0,B_info_guided,50,0.09121792018413544,0.022944800555706024
0,C_info_unguided,50,0.09514538198709488,0.07012365758419037
0,A_gauss_guided,100,0.23071560263633728,0.19177280366420746
0,B_info_guided,100,0.09145078808069229,0.02290189452469349
0,C_info_unguided,100,0.09530332684516907,0.07031817734241486
