mode,nfe,lambda0,n_seeds,nrmse_mean,nrmse_std,obs_residual_mean,obs_residual_std
A0_s3gm_pf_unguided,10,0.0,3,1.2066280444463093,0.014602926156828261,1.2082276741663616,0.014447347998069345
A_s3gm_pf_guided,10,0.0,3,1.2066280444463093,0.014602926156828261,1.2082276741663616,0.014447347998069345
A_s3gm_pf_guided,10,0.1,3,1.0384445190429688,0.011334541315646608,1.029370625813802,0.011823489600775788
A_s3gm_pf_guided,10,0.25,3,28.171396275361378,38.64536554903203,69.49478449424107,97.11380341543611
A_s3gm_pf_guided,10,0.5,3,517.2802886962891,532.8939460948706,1295.7360738118489,1335.769639765902
A_s3gm_pf_guided,10,1.0,3,21199.100260416668,11774.237763577397,53145.072916666664,29519.159771219933
B_s3fm_learned_guided,10,2.0,3,0.08999064067999522,0.0002684892991192583,0.023715142781535786,0.0005748630840078664
C_s3fm_learned_unguided,10,0.0,3,0.09416196991999944,1.8569511896507392e-05,0.06977952520052592,0.000984845543835912
A0_s3gm_pf_unguided,20,0.0,3,1.2285828193028767,0.015618928712862358,1.2307595014572144,0.015219187575826004
A_s3gm_pf_guided,20,0.0,3,1.2285828193028767,0.015618928712862358,1.2307595014572144,0.015219187575826004
A_s3gm_pf_guided,20,0.1,3,1.0613970359166462,0.012753290289735427,1.0538692474365234,0.012657859755485874
A_s3gm_pf_guided,20,0.25,3,0.8657039403915405,0.008815522670395533,0.847522517045339,0.008680421294186832
A_s3gm_pf_guided,20,0.5,3,183900.45931438604,255204.70261849713,461045.0655099551,639808.1125323515
A_s3gm_pf_guided,20,1.0,3,75894295.33333333,77578097.43853089,190269886.66666666,194491238.60411018
B_s3fm_learned_guided,20,2.0,3,0.09071296453475952,0.0002140081734536461,0.02344495803117752,0.0004972567336780084
C_s3fm_learned_unguided,20,0.0,3,0.0947277620434761,1.153984220611997e-05,0.0705975592136383,0.0010932455772013838
A0_s3gm_pf_unguided,50,0.0,3,1.2473622560501099,0.016416524349584842,1.2497912645339966,0.015864242072183274
A_s3gm_pf_guided,50,0.0,3,1.2473622560501099,0.016416524349584842,1.2497912645339966,0.015864242072183274
A_s3gm_pf_guided,50,0.1,3,1.0775096416473389,0.01373233329983352,1.0707863966623943,0.013256568465737877
A_s3gm_pf_guided,50,0.25,3,0.8796075383822123,0.009831025100419903,0.862726072470347,0.00930969141620271
A_s3gm_pf_guided,50,0.5,3,0.6432095567385355,0.007277719745620093,0.6150894165039062,0.006962073753608907
A_s3gm_pf_guided,50,1.0,3,nan,nan,nan,nan
B_s3fm_learned_guided,50,2.0,3,0.09139629453420639,0.00019325330668853338,0.023271450772881508,0.0004516913684910649
C_s3fm_learned_unguided,50,0.0,3,0.09515901158253352,1.947041315352405e-05,0.0712169458468755,0.0011755487721628554
A0_s3gm_pf_unguided,100,0.0,3,1.2548516988754272,0.016727759640587803,1.2573532263437908,0.01612965696434426
A_s3gm_pf_guided,100,0.0,3,1.2548516988754272,0.016727759640587803,1.2573532263437908,0.01612965696434426
A_s3gm_pf_guided,100,0.1,3,1.083113670349121,0.014150077026081554,1.0765926837921143,0.013565437082974625
A_s3gm_pf_guided,100,0.25,3,0.8829931219418844,0.010204641676641582,0.866469939549764,0.009559529508803033
A_s3gm_pf_guided,100,0.5,3,0.644225001335144,0.007651960098553211,0.6164088447888693,0.00743136070796718
A_s3gm_pf_guided,100,1.0,3,0.4172682265440623,0.00368262489043668,0.38101041316986084,0.003186063378659505
B_s3fm_learned_guided,100,2.0,3,0.09162751336892445,0.00018685238182614564,0.02321832316617171,0.0004369680368655783
C_s3fm_learned_unguided,100,0.0,3,0.09532356758912404,2.3971216414830604e-05,0.07145131131013234,0.0012067146215937303
