mode,nfe,n_seeds,nrmse_mean,nrmse_std,obs_residual_mean,obs_residual_std
A_gauss_guided,10,3,0.2521379043658574,0.003954576380066486,0.20992247760295868,0.0026650728416536137
B_info_guided,10,3,0.08999064067999522,0.0002684892991192583,0.023715142781535786,0.0005748630840078664
C_info_unguided,10,3,0.09416196991999944,1.8569511896507392e-05,0.06977952520052592,0.000984845543835912
A_gauss_guided,20,3,0.24195813139279684,0.0038740107849008346,0.20053705076376596,0.0023214970071714467
B_info_guided,20,3,0.09071296453475952,0.0002140081734536461,0.02344495803117752,0.0004972567336780084
C_info_unguided,20,3,0.0947277620434761,1.153984220611997e-05,0.0705975592136383,0.0010932455772013838
A_gauss_guided,50,3,0.23743921518325806,0.0038089888344070787,0.19618947803974152,0.002115041937013449
B_info_guided,50,3,0.09139629453420639,0.00019325330668853338,0.023271450772881508,0.0004516913684910649
C_info_unguided,50,3,0.09515901158253352,1.947041315352405e-05,0.0712169458468755,0.0011755487721628554
A_gauss_guided,100,3,0.2360679805278778,0.0037898341201200265,0.19467729330062866,0.0020613844520930755
B_info_guided,100,3,0.09162751336892445,0.00018685238182614564,0.02321832316617171,0.0004369680368655783
C_info_unguided,100,3,0.09532356758912404,2.3971216414830604e-05,0.07145131131013234,0.0012067146215937303
