seed,mode,nfe,nrmse,obs_residual
0,A_gauss_guided,10,0.24662332236766815,0.2063167244195938
0,B_info_guided,10,0.08961257338523865,0.0232975073158741
0,C_info_unguided,10,0.09418734908103943,0.06893420964479446
0,A_gauss_guided,20,0.23650485277175903,0.19730055332183838
0,B_info_guided,20,0.09049723297357559,0.023085664957761765
0,C_info_unguided,20,0.09473129361867905,0.06961037963628769
0,A_gauss_guided,50,0.23206263780593872,0.19321492314338684
0,B_info_guided,50,0.09121792018413544,0.022944800555706024
0,C_info_unguided,50,0.09514538198709488,0.07012365758419037
0,A_gauss_guided,100,0.23071560263633728,0.19177280366420746
0,B_info_guided,100,0.09145078808069229,0.02290189452469349
0,C_info_unguided,100,0.09530332684516907,0.07031817734241486
1,A_gauss_guided,10,0.2557014524936676,0.2126755267381668
1,B_info_guided,10,0.09014920145273209,0.023319901898503304
1,C_info_unguided,10,0.09415512531995773,0.07116080820560455
1,A_gauss_guided,20,0.24514111876487732,0.2026326209306717
1,B_info_guided,20,0.09063699841499329,0.0231010802090168
1,C_info_unguided,20,0.09473979473114014,0.07212162762880325
1,A_gauss_guided,50,0.24041369557380676,0.19794900715351105
1,B_info_guided,50,0.0913061574101448,0.02295936830341816
1,C_info_unguided,50,0.09518654644489288,0.07284821569919586
1,A_gauss_guided,100,0.23898562788963318,0.19634613394737244
1,B_info_guided,100,0.09154573827981949,0.022916845977306366
1,C_info_unguided,100,0.09535723924636841,0.07312297821044922
2,A_gauss_guided,10,0.2540889382362366,0.21077518165111542
2,B_info_guided,10,0.09021014720201492,0.02452801913022995
2,C_info_unguided,10,0.09414343535900116,0.06924355775117874
2,A_gauss_guided,20,0.24422842264175415,0.20167797803878784
2,B_info_guided,20,0.09100466221570969,0.024148128926753998
2,C_info_unguided,20,0.09471219778060913,0.07006067037582397
2,A_gauss_guided,50,0.2398413121700287,0.19740450382232666
2,B_info_guided,50,0.09166480600833893,0.02391018345952034
2,C_info_unguided,50,0.09514510631561279,0.0706789642572403
2,A_gauss_guided,100,0.23850271105766296,0.1959129422903061
2,B_info_guided,100,0.0918860137462616,0.023836228996515274
2,C_info_unguided,100,0.09531013667583466,0.07091277837753296
