seed,mode,nfe,nrmse,obs_residual
0,A_gauss_guided,10,0.27626144886016846,0.2257438600063324
0,B_info_guided,10,0.096467524766922,0.025537095963954926
0,C_info_unguided,10,0.10030922293663025,0.06964521110057831
0,A_gauss_guided,20,0.2655353248119354,0.2158752828836441
0,B_info_guided,20,0.09728039801120758,0.02528483234345913
0,C_info_unguided,20,0.1007930338382721,0.07035169005393982
0,A_gauss_guided,50,0.2609350383281708,0.2114861011505127
0,B_info_guided,50,0.09802336990833282,0.02511782944202423
0,C_info_unguided,50,0.10116284340620041,0.07088534533977509
0,A_gauss_guided,100,0.2595672309398651,0.20999526977539062
0,B_info_guided,100,0.09825623780488968,0.025067277252674103
0,C_info_unguided,100,0.10130395740270615,0.0710873007774353
1,A_gauss_guided,10,0.28294798731803894,0.23340700566768646
1,B_info_guided,10,0.09682750701904297,0.025852924212813377
1,C_info_unguided,10,0.10019070655107498,0.07096965610980988
1,A_gauss_guided,20,0.2709161937236786,0.2217344045639038
1,B_info_guided,20,0.09766200929880142,0.02561097778379917
1,C_info_unguided,20,0.10071500390768051,0.07177864760160446
1,A_gauss_guided,50,0.2655506134033203,0.21622346341609955
1,B_info_guided,50,0.09843947738409042,0.025445951148867607
1,C_info_unguided,50,0.10111744701862335,0.07238703221082687
1,A_gauss_guided,100,0.26395168900489807,0.21434730291366577
1,B_info_guided,100,0.0986962616443634,0.025395380333065987
1,C_info_unguided,100,0.10127134621143341,0.0726168304681778
2,A_gauss_guided,10,0.2855709195137024,0.23386722803115845
2,B_info_guided,10,0.0969046875834465,0.02614334225654602
2,C_info_unguided,10,0.10034329444169998,0.06923344731330872
2,A_gauss_guided,20,0.2755969762802124,0.2240513414144516
2,B_info_guided,20,0.09782273322343826,0.02582879178225994
2,C_info_unguided,20,0.10087556391954422,0.06993135064840317
2,A_gauss_guided,50,0.2714233994483948,0.21966341137886047
2,B_info_guided,50,0.0985843613743782,0.025621728971600533
2,C_info_unguided,50,0.10128241032361984,0.0704660415649414
2,A_gauss_guided,100,0.270190566778183,0.21817046403884888
2,B_info_guided,100,0.09881451725959778,0.025557292625308037
2,C_info_unguided,100,0.10143761336803436,0.07066986709833145
