mode,nfe,n_seeds,nrmse_mean,nrmse_std,obs_residual_mean,obs_residual_std
A_gauss_guided,10,3,0.2815934518973033,0.00391940774580149,0.2310060312350591,0.0037256574977927743
B_info_guided,10,3,0.09673323978980382,0.00019051258037065672,0.025844454144438107,0.000247571468959064
C_info_unguided,10,3,0.10028107464313507,6.53962838463306e-05,0.06994943817456563,0.0007407297440912209
A_gauss_guided,20,3,0.27068283160527545,0.004110965091556909,0.22055367628733316,0.0034406949610137003
B_info_guided,20,3,0.09758838017781575,0.00022744641302830916,0.02557486730317275,0.00022353365574103457
C_info_unguided,20,3,0.10079453388849895,6.555693182484392e-05,0.07068722943464915,0.0007905974598710339
A_gauss_guided,50,3,0.2659696837266286,0.004292096977699432,0.21579099198182425,0.0033523498523432196
B_info_guided,50,3,0.09834906955560048,0.00023777866155052097,0.025395169854164124,0.00020882646526981208
C_info_unguided,50,3,0.10118756691614787,6.957807105179456e-05,0.07124613970518112,0.0008246941639082231
A_gauss_guided,100,3,0.26456982890764874,0.004358928674797028,0.2141710122426351,0.0033398362346917063
B_info_guided,100,3,0.09858900556961696,0.0002402039224836614,0.02533998340368271,0.0002038469706965092
C_info_unguided,100,3,0.10133763899405797,7.193529054196318e-05,0.07145799944798152,0.0008369507031039944
