seed,mode,nfe,nrmse,obs_residual
0,A_s3gm_pf_guided,10,1.2267208099365234,1.2345154285430908
0,A0_s3gm_pf_unguided,10,1.2269561290740967,1.2347630262374878
0,B_s3fm_learned_guided,10,0.05578207969665527,0.0343792624771595
0,C_s3fm_learned_unguided,10,0.05578240007162094,0.0343799814581871
0,A_s3gm_pf_guided,20,1.256203055381775,1.267217755317688
0,A0_s3gm_pf_unguided,20,1.256437063217163,1.2674626111984253
0,B_s3fm_learned_guided,20,0.055673208087682724,0.034314513206481934
0,C_s3fm_learned_unguided,20,0.05567352846264839,0.03431524336338043
