mode,nfe,n_seeds,nrmse_mean,nrmse_std,obs_residual_mean,obs_residual_std
A_gauss_guided,10,1,0.4824400544166565,0.0,0.4469483494758606,0.0
B_info_guided,10,1,0.09062556177377701,0.0,0.03202882036566734,0.0
C_info_unguided,10,1,0.09418734908103943,0.0,0.06893420964479446,0.0
A_gauss_guided,20,1,0.46196189522743225,0.0,0.4262569844722748,0.0
B_info_guided,20,1,0.09118688106536865,0.0,0.031611550599336624,0.0
C_info_unguided,20,1,0.09473129361867905,0.0,0.06961037963628769,0.0
A_gauss_guided,50,1,0.4507356286048889,0.0,0.41490715742111206,0.0
B_info_guided,50,1,0.09157740324735641,0.0,0.03132938593626022,0.0
C_info_unguided,50,1,0.09514538198709488,0.0,0.07012365758419037,0.0
A_gauss_guided,100,1,0.44708603620529175,0.0,0.41110482811927795,0.0
B_info_guided,100,1,0.09172254055738449,0.0,0.03123432584106922,0.0
C_info_unguided,100,1,0.09530332684516907,0.0,0.07031817734241486,0.0
