seed,mode,nfe,nrmse,obs_residual
0,A_gauss_guided,10,0.2323007583618164,0.19575905799865723
0,B_info_guided,10,0.09229843318462372,0.02238122560083866
0,C_info_unguided,10,0.09444433450698853,0.07580851763486862
0,A_gauss_guided,20,0.2237590104341507,0.18726088106632233
0,B_info_guided,20,0.09310995042324066,0.022163555026054382
0,C_info_unguided,20,0.09497591108083725,0.07646483182907104
0,A_gauss_guided,50,0.22047176957130432,0.18339744210243225
0,B_info_guided,50,0.09403666108846664,0.022018952295184135
0,C_info_unguided,50,0.09537956863641739,0.07696262001991272
0,A_gauss_guided,100,0.21952727437019348,0.18207411468029022
0,B_info_guided,100,0.09432823956012726,0.0219761673361063
0,C_info_unguided,100,0.09553316235542297,0.07715131342411041
1,A_gauss_guided,10,0.23513081669807434,0.19912202656269073
1,B_info_guided,10,0.09311126172542572,0.022578248754143715
1,C_info_unguided,10,0.09459929168224335,0.07542430609464645
1,A_gauss_guided,20,0.22547918558120728,0.19004034996032715
1,B_info_guided,20,0.09369439631700516,0.022318940609693527
1,C_info_unguided,20,0.09518470615148544,0.07616227865219116
1,A_gauss_guided,50,0.22138451039791107,0.1858716458082199
1,B_info_guided,50,0.09483609348535538,0.022153718397021294
1,C_info_unguided,50,0.0956321731209755,0.07672738283872604
1,A_gauss_guided,100,0.2201833873987198,0.1844526082277298
1,B_info_guided,100,0.09517808258533478,0.022103194147348404
1,C_info_unguided,100,0.09580300748348236,0.07694292813539505
2,A_gauss_guided,10,0.24168719351291656,0.20208920538425446
2,B_info_guided,10,0.09287583082914352,0.023464150726795197
2,C_info_unguided,10,0.09477357566356659,0.07525648176670074
2,A_gauss_guided,20,0.23358796536922455,0.194031223654747
2,B_info_guided,20,0.09389779716730118,0.023176729679107666
2,C_info_unguided,20,0.09535925090312958,0.07606954127550125
2,A_gauss_guided,50,0.2305345982313156,0.19059458374977112
2,B_info_guided,50,0.09489211440086365,0.02297583967447281
2,C_info_unguided,50,0.09580323100090027,0.07668475806713104
2,A_gauss_guided,100,0.22970318794250488,0.18939590454101562
2,B_info_guided,100,0.09520598500967026,0.02291243150830269
2,C_info_unguided,100,0.09597197920084,0.07691748440265656
