mode,nfe,lambda0,n_seeds,nrmse_mean,nrmse_std,obs_residual_mean,obs_residual_std
A0_s3gm_pf_unguided,10,0.0,1,1.2269561290740967,0.0,1.2347630262374878,0.0
A_s3gm_pf_guided,10,0.0,1,1.2269561290740967,0.0,1.2347630262374878,0.0
A_s3gm_pf_guided,10,0.01,1,1.2052727937698364,0.0,1.2118401527404785,0.0
A_s3gm_pf_guided,10,0.1,1,1.0584601163864136,0.0,1.0545005798339844,0.0
A_s3gm_pf_guided,10,0.5,1,149.07786560058594,0.0,364.8260803222656,0.0
B_s3fm_learned_guided,10,2.0,1,0.05094414949417114,0.0,0.023560544475913048,0.0
C_s3fm_learned_unguided,10,0.0,1,0.05578240007162094,0.0,0.0343799814581871,0.0
A0_s3gm_pf_unguided,20,0.0,1,1.256437063217163,0.0,1.2674626111984253,0.0
A_s3gm_pf_guided,20,0.0,1,1.256437063217163,0.0,1.2674626111984253,0.0
A_s3gm_pf_guided,20,0.01,1,1.2348204851150513,0.0,1.244727611541748,0.0
A_s3gm_pf_guided,20,0.1,1,1.088240385055542,0.0,1.0883865356445312,0.0
A_s3gm_pf_guided,20,0.5,1,0.6683521866798401,0.0,0.6356275081634521,0.0
B_s3fm_learned_guided,20,2.0,1,0.050887953490018845,0.0,0.02343643084168434,0.0
C_s3fm_learned_unguided,20,0.0,1,0.05567352846264839,0.0,0.03431524336338043,0.0
