seed,mode,nfe,nrmse,obs_residual
0,A_gauss_guided,10,0.09682066738605499,0.07698512077331543
0,B_info_guided,10,0.04697878658771515,0.014755228534340858
0,C_info_unguided,10,0.05578240007162094,0.0343799814581871
0,A_gauss_guided,20,0.09576327353715897,0.07507563382387161
0,B_info_guided,20,0.04704255610704422,0.014563098549842834
0,C_info_unguided,20,0.05567352846264839,0.03431524336338043
0,A_gauss_guided,50,0.09549940377473831,0.0750645101070404
0,B_info_guided,50,0.04709447920322418,0.014433217234909534
0,C_info_unguided,50,0.05561147257685661,0.034282732754945755
0,A_gauss_guided,100,0.0953083336353302,0.07479619979858398
0,B_info_guided,100,0.047115497291088104,0.014404053799808025
0,C_info_unguided,100,0.05559322610497475,0.03427361324429512
